Timestamp,datetime,symbol,high,low,open,close,volume,Date,Time,High,Low,Open,Close,TotalVolume
1537888560,2018-09-25 23:16:00,EOSUSDT,5.1858,5.177,5.1841,5.1772,6486.13,2018-09-25,23:16:00,5.1858,5.177,5.1841,5.1772,648613
1537888620,2018-09-25 23:17:00,EOSUSDT,5.1801,5.1688,5.1801,5.1709,4724.94,2018-09-25,23:17:00,5.1801,5.1688,5.1801,5.1709,472493
1537888680,2018-09-25 23:18:00,EOSUSDT,5.1791,5.16,5.1683,5.1768,12907.81,2018-09-25,23:18:00,5.1791,5.16,5.1683,5.1768,1290781
1537888740,2018-09-25 23:19:00,EOSUSDT,5.1823,5.1758,5.1768,5.1779,4974.36,2018-09-25,23:19:00,5.1823,5.1758,5.1768,5.1779,497435
1537888800,2018-09-25 23:20:00,EOSUSDT,5.1823,5.1781,5.1783,5.1823,565.07,2018-09-25,23:20:00,5.1823,5.1781,5.1783,5.1823,56507
1537888860,2018-09-25 23:21:00,EOSUSDT,5.1889,5.1828,5.1833,5.1828,1022.93,2018-09-25,23:21:00,5.1889,5.1828,5.1833,5.1828,102293
1537888920,2018-09-25 23:22:00,EOSUSDT,5.18,5.1767,5.1791,5.1799,7786.83,2018-09-25,23:22:00,5.18,5.1767,5.1791,5.1799,778683
1537888980,2018-09-25 23:23:00,EOSUSDT,5.186,5.18,5.18,5.1838,6042.56,2018-09-25,23:23:00,5.186,5.18,5.18,5.1838,604256
1537889040,2018-09-25 23:24:00,EOSUSDT,5.1834,5.1782,5.1802,5.1801,10930.46,2018-09-25,23:24:00,5.1834,5.1782,5.1802,5.1801,1093046
1537889100,2018-09-25 23:25:00,EOSUSDT,5.1802,5.1767,5.1782,5.1767,5429.45,2018-09-25,23:25:00,5.1802,5.1767,5.1782,5.1767,542945
1537889160,2018-09-25 23:26:00,EOSUSDT,5.1755,5.1622,5.1755,5.1622,8643.64,2018-09-25,23:26:00,5.1755,5.1622,5.1755,5.1622,864364
1537889220,2018-09-25 23:27:00,EOSUSDT,5.1696,5.1653,5.1675,5.1687,11074.61,2018-09-25,23:27:00,5.1696,5.1653,5.1675,5.1687,1107461
1537889280,2018-09-25 23:28:00,EOSUSDT,5.169,5.16,5.1678,5.16,10350.82,2018-09-25,23:28:00,5.169,5.16,5.1678,5.16,1035082
1537889340,2018-09-25 23:29:00,EOSUSDT,5.1721,5.1581,5.1623,5.1714,9188.58,2018-09-25,23:29:00,5.1721,5.1581,5.1623,5.1714,918858
1537889400,2018-09-25 23:30:00,EOSUSDT,5.1696,5.1589,5.1671,5.1601,6615.84,2018-09-25,23:30:00,5.1696,5.1589,5.1671,5.1601,661584
1537889460,2018-09-25 23:31:00,EOSUSDT,5.1622,5.158,5.1618,5.1588,10021.2,2018-09-25,23:31:00,5.1622,5.158,5.1618,5.1588,1002120
1537889520,2018-09-25 23:32:00,EOSUSDT,5.1583,5.14,5.1582,5.1502,18316.95,2018-09-25,23:32:00,5.1583,5.14,5.1582,5.1502,1831695
1537889580,2018-09-25 23:33:00,EOSUSDT,5.1564,5.1465,5.1468,5.1478,5662.18,2018-09-25,23:33:00,5.1564,5.1465,5.1468,5.1478,566218
1537889640,2018-09-25 23:34:00,EOSUSDT,5.1513,5.1299,5.1482,5.1308,6857.63,2018-09-25,23:34:00,5.1513,5.1299,5.1482,5.1308,685763
1537889700,2018-09-25 23:35:00,EOSUSDT,5.1309,5.1157,5.1309,5.1305,7871.04,2018-09-25,23:35:00,5.1309,5.1157,5.1309,5.1305,787104
1537889760,2018-09-25 23:36:00,EOSUSDT,5.1242,5.1057,5.1241,5.1097,24657.54,2018-09-25,23:36:00,5.1242,5.1057,5.1241,5.1097,2465754
1537889820,2018-09-25 23:37:00,EOSUSDT,5.1495,5.1034,5.1086,5.1307,14260.34,2018-09-25,23:37:00,5.1495,5.1034,5.1086,5.1307,1426034
1537889880,2018-09-25 23:38:00,EOSUSDT,5.1478,5.1322,5.1344,5.1477,5838.14,2018-09-25,23:38:00,5.1478,5.1322,5.1344,5.1477,583814
1537889940,2018-09-25 23:39:00,EOSUSDT,5.1776,5.1485,5.1485,5.1734,7135.35,2018-09-25,23:39:00,5.1776,5.1485,5.1485,5.1734,713535
1537890000,2018-09-25 23:40:00,EOSUSDT,5.1772,5.1528,5.1736,5.1623,10222.37,2018-09-25,23:40:00,5.1772,5.1528,5.1736,5.1623,1022237
1537890060,2018-09-25 23:41:00,EOSUSDT,5.166,5.158,5.1623,5.1602,9931.92,2018-09-25,23:41:00,5.166,5.158,5.1623,5.1602,993192
1537890120,2018-09-25 23:42:00,EOSUSDT,5.17,5.15,5.1599,5.17,9620.92,2018-09-25,23:42:00,5.17,5.15,5.1599,5.17,962092
1537890180,2018-09-25 23:43:00,EOSUSDT,5.1717,5.1616,5.1674,5.1698,1070.97,2018-09-25,23:43:00,5.1717,5.1616,5.1674,5.1698,107097
1537890240,2018-09-25 23:44:00,EOSUSDT,5.189,5.1698,5.1698,5.1786,7151.03,2018-09-25,23:44:00,5.189,5.1698,5.1698,5.1786,715103
1537890300,2018-09-25 23:45:00,EOSUSDT,5.1846,5.1757,5.1807,5.1757,4451.62,2018-09-25,23:45:00,5.1846,5.1757,5.1807,5.1757,445162
1537890360,2018-09-25 23:46:00,EOSUSDT,5.1835,5.1697,5.1744,5.1835,5674.26,2018-09-25,23:46:00,5.1835,5.1697,5.1744,5.1835,567426
